,REG1V.HE,NESTE.HE,ORNBV.HE,KNEBV.HE,OLVAS.HE,HUH1V.HE,DETEC.HE,ORNAV.HE,CGCBV.HE,VAIAS.HE,ALBBV.HE,VALMT.HE,EQV1V.HE,PON1V.HE
2023-03-17 08:00:00,39.380001068115234,44.22999954223633,46.15999984741211,49.779998779296875,29.600000381469727,34.2400016784668,18.200000762939453,42.900001525878906,46.63999938964844,39.900001525878906,38.099998474121094,28.989999771118164,21.149999618530273,26.649999618530273
2023-03-17 09:00:00,39.599998474121094,44.09000015258789,46.04999923706055,49.869998931884766,29.600000381469727,34.22999954223633,18.299999237060547,42.95000076293945,46.68000030517578,40.0,39.099998474121094,29.040000915527344,21.0,26.5
2023-03-17 10:00:00,39.599998474121094,43.77000045776367,46.0,49.900001525878906,29.700000762939453,34.25,18.25,42.95000076293945,46.619998931884766,40.20000076293945,39.0,28.959999084472656,21.049999237060547,26.600000381469727
2023-03-17 12:00:00,39.459999084472656,44.119998931884766,46.150001525878906,49.810001373291016,30.100000381469727,34.119998931884766,18.299999237060547,42.849998474121094,46.79999923706055,40.099998474121094,38.79999923706055,28.829999923706055,21.0,26.450000762939453
2023-03-17 13:00:00,38.84000015258789,44.18000030517578,46.06999969482422,49.70000076293945,30.100000381469727,34.04999923706055,18.299999237060547,42.79999923706055,46.65999984741211,40.29999923706055,38.400001525878906,28.860000610351562,21.049999237060547,26.450000762939453
2023-03-17 14:00:00,38.52000045776367,44.13999938964844,46.18000030517578,49.720001220703125,30.0,34.08000183105469,18.25,42.900001525878906,46.560001373291016,40.04999923706055,38.79999923706055,28.889999389648438,21.049999237060547,26.450000762939453
2023-03-17 15:00:00,38.86000061035156,44.119998931884766,46.40999984741211,49.439998626708984,29.899999618530273,34.130001068115234,18.200000762939453,42.849998474121094,46.08000183105469,40.0,38.400001525878906,28.440000534057617,21.049999237060547,26.350000381469727
2023-03-17 16:00:00,38.2599983215332,44.15999984741211,46.380001068115234,49.36000061035156,30.0,34.130001068115234,18.850000381469727,43.25,46.15999984741211,40.20000076293945,38.400001525878906,28.049999237060547,21.049999237060547,26.5
2023-03-20 08:00:00,37.939998626708984,44.060001373291016,46.20000076293945,49.29999923706055,29.950000762939453,34.06999969482422,18.850000381469727,43.150001525878906,45.97999954223633,39.650001525878906,39.099998474121094,28.049999237060547,21.049999237060547,26.350000381469727
2023-03-20 09:00:00,37.81999969482422,44.099998474121094,46.04999923706055,49.310001373291016,29.899999618530273,34.18000030517578,18.0,43.25,45.97999954223633,39.849998474121094,39.099998474121094,28.110000610351562,21.149999618530273,26.149999618530273
2023-03-20 10:00:00,37.97999954223633,43.91999816894531,46.310001373291016,49.38999938964844,29.950000762939453,34.290000915527344,18.850000381469727,43.20000076293945,45.79999923706055,39.849998474121094,38.70000076293945,27.889999389648438,21.149999618530273,26.399999618530273
2023-03-20 11:00:00,38.18000030517578,43.619998931884766,46.220001220703125,49.400001525878906,29.899999618530273,34.20000076293945,18.5,43.099998474121094,45.79999923706055,40.150001525878906,39.0,27.940000534057617,20.899999618530273,26.200000762939453
2023-03-20 12:00:00,38.34000015258789,43.61000061035156,46.38999938964844,49.400001525878906,30.049999237060547,34.20000076293945,18.799999237060547,42.900001525878906,45.91999816894531,39.900001525878906,39.20000076293945,27.969999313354492,20.850000381469727,26.399999618530273
2023-03-20 13:00:00,38.47999954223633,43.630001068115234,46.290000915527344,49.459999084472656,30.049999237060547,34.27000045776367,18.5,43.099998474121094,45.84000015258789,40.0,39.20000076293945,28.1299991607666,20.549999237060547,26.600000381469727
2023-03-20 14:00:00,38.58000183105469,43.58000183105469,46.279998779296875,49.349998474121094,30.049999237060547,34.290000915527344,18.850000381469727,43.04999923706055,45.79999923706055,40.0,39.20000076293945,28.139999389648438,20.649999618530273,26.600000381469727
2023-03-20 15:00:00,38.619998931884766,43.540000915527344,45.939998626708984,49.22999954223633,30.049999237060547,33.79999923706055,18.850000381469727,43.150001525878906,45.91999816894531,40.25,39.20000076293945,27.760000228881836,20.600000381469727,26.649999618530273
2023-03-20 16:00:00,38.380001068115234,43.47999954223633,45.97999954223633,49.349998474121094,30.0,33.400001525878906,18.149999618530273,43.25,45.97999954223633,40.20000076293945,39.70000076293945,27.739999771118164,20.700000762939453,26.649999618530273
2023-03-21 08:00:00,38.41999816894531,43.470001220703125,45.97999954223633,49.52000045776367,29.950000762939453,33.459999084472656,18.200000762939453,43.099998474121094,45.939998626708984,40.5,39.5,27.75,20.75,27.0
2023-03-21 10:00:00,38.47999954223633,43.56999969482422,45.959999084472656,49.56999969482422,30.100000381469727,33.47999954223633,18.5,43.099998474121094,45.900001525878906,40.400001525878906,39.29999923706055,27.75,20.5,27.0
2023-03-21 11:00:00,38.47999954223633,43.529998779296875,45.869998931884766,49.59000015258789,30.049999237060547,33.45000076293945,18.5,43.150001525878906,45.91999816894531,40.349998474121094,39.0,27.68000030517578,20.399999618530273,27.25
2023-03-21 12:00:00,38.540000915527344,43.72999954223633,46.119998931884766,49.459999084472656,30.0,33.4900016784668,18.200000762939453,43.150001525878906,46.0,40.349998474121094,39.0,27.510000228881836,20.350000381469727,27.200000762939453
2023-03-21 13:00:00,38.380001068115234,43.459999084472656,45.95000076293945,49.599998474121094,29.950000762939453,33.349998474121094,17.600000381469727,43.20000076293945,46.040000915527344,40.650001525878906,39.0,27.5,20.299999237060547,27.25
2023-03-21 15:00:00,38.5,43.79999923706055,46.060001373291016,49.66999816894531,30.0,33.47999954223633,17.5,43.04999923706055,46.36000061035156,41.29999923706055,39.0,27.670000076293945,20.149999618530273,27.049999237060547
2023-03-21 16:00:00,38.720001220703125,43.709999084472656,45.93000030517578,49.689998626708984,30.299999237060547,33.5,17.899999618530273,43.20000076293945,46.20000076293945,41.45000076293945,39.400001525878906,27.639999389648438,20.149999618530273,27.25
2023-03-22 08:00:00,38.619998931884766,43.880001068115234,46.040000915527344,49.66999816894531,30.450000762939453,33.619998931884766,18.399999618530273,43.25,45.79999923706055,41.599998474121094,39.599998474121094,27.360000610351562,20.100000381469727,27.299999237060547
2023-03-22 09:00:00,38.900001525878906,43.849998474121094,46.25,49.5,30.350000381469727,33.52000045776367,18.049999237060547,43.650001525878906,45.52000045776367,41.75,38.900001525878906,27.229999542236328,20.0,27.299999237060547
2023-03-22 10:00:00,39.060001373291016,43.959999084472656,46.36000061035156,49.529998779296875,30.25,33.63999938964844,18.049999237060547,43.79999923706055,45.560001373291016,41.25,38.900001525878906,27.329999923706055,20.049999237060547,27.299999237060547
2023-03-22 11:00:00,39.040000915527344,43.93000030517578,46.22999954223633,49.630001068115234,30.299999237060547,33.4900016784668,18.049999237060547,43.95000076293945,45.599998474121094,41.099998474121094,38.900001525878906,27.309999465942383,20.049999237060547,27.25
